id,monto_de_recuperacion_esperado,monto_de_recuperacion_real,estrategia_de_recuperacion,edad,sexo
1981,703,414.065,Nivel 0 de Recuperacion,31,Masculino
1280,704,627.44,Nivel 0 de Recuperacion,18,Femenino
2019,704,262.105,Nivel 0 de Recuperacion,29,Femenino
1342,707,326.93,Nivel 0 de Recuperacion,19,Masculino
283,715,370.925,Nivel 0 de Recuperacion,26,Masculino
532,718,539.65,Nivel 0 de Recuperacion,28,Masculino
1921,719,325.875,Nivel 0 de Recuperacion,26,Femenino
543,720,851.62,Nivel 0 de Recuperacion,22,Masculino
1053,720,523.81,Nivel 0 de Recuperacion,22,Femenino
1503,723,567.765,Nivel 0 de Recuperacion,25,Femenino
297,724,315.66,Nivel 0 de Recuperacion,26,Femenino
1969,726,253.585,Nivel 0 de Recuperacion,25,Masculino
1746,727,282.21,Nivel 0 de Recuperacion,20,Femenino
241,728,589.55,Nivel 0 de Recuperacion,29,Femenino
1144,731,617.675,Nivel 0 de Recuperacion,24,Masculino
1700,733,697.415,Nivel 0 de Recuperacion,36,Femenino
2008,736,691.405,Nivel 0 de Recuperacion,28,Femenino
1238,741,251.65,Nivel 0 de Recuperacion,27,Femenino
1339,742,464.33,Nivel 0 de Recuperacion,32,Femenino
1754,748,329.78,Nivel 0 de Recuperacion,26,Femenino
1470,749,858.36,Nivel 0 de Recuperacion,26,Masculino
227,751,287.125,Nivel 0 de Recuperacion,33,Femenino
1705,752,369.4,Nivel 0 de Recuperacion,25,Masculino
1986,752,677.825,Nivel 0 de Recuperacion,20,Masculino
797,754,529.615,Nivel 0 de Recuperacion,33,Femenino
1151,754,601.03,Nivel 0 de Recuperacion,27,Femenino
1947,755,318.74,Nivel 0 de Recuperacion,25,Femenino
1498,756,574,Nivel 0 de Recuperacion,18,Masculino
2013,767,516.22,Nivel 0 de Recuperacion,24,Femenino
1938,769,299.71,Nivel 0 de Recuperacion,33,Femenino
1397,770,540.165,Nivel 0 de Recuperacion,35,Masculino
1389,771,744.75,Nivel 0 de Recuperacion,24,Masculino
1894,771,603.47,Nivel 0 de Recuperacion,35,Masculino
54,772,482.88,Nivel 0 de Recuperacion,20,Masculino
60,772,532.735,Nivel 0 de Recuperacion,31,Masculino
488,772,465.665,Nivel 0 de Recuperacion,18,Masculino
1648,772,415.4,Nivel 0 de Recuperacion,31,Femenino
223,773,314.795,Nivel 0 de Recuperacion,33,Femenino
872,773,413.54,Nivel 0 de Recuperacion,18,Masculino
1039,773,487.32,Nivel 0 de Recuperacion,19,Masculino
1742,774,395.205,Nivel 0 de Recuperacion,24,Femenino
1337,775,610.23,Nivel 0 de Recuperacion,31,Femenino
1209,776,313.945,Nivel 0 de Recuperacion,30,Femenino
1048,777,424.015,Nivel 0 de Recuperacion,31,Masculino
1346,777,622.5,Nivel 0 de Recuperacion,21,Masculino
1862,782,1069.185,Nivel 0 de Recuperacion,24,Masculino
1444,783,533.645,Nivel 0 de Recuperacion,23,Masculino
1561,785,576.69,Nivel 0 de Recuperacion,35,Femenino
253,786,302.56,Nivel 0 de Recuperacion,22,Masculino
1491,791,319.365,Nivel 0 de Recuperacion,22,Masculino
1590,791,552.34,Nivel 0 de Recuperacion,35,Femenino
474,793,204.535,Nivel 0 de Recuperacion,27,Masculino
873,793,584.47,Nivel 0 de Recuperacion,34,Femenino
915,794,271.615,Nivel 0 de Recuperacion,29,Femenino
495,796,537.215,Nivel 0 de Recuperacion,31,Femenino
1628,797,847.94,Nivel 0 de Recuperacion,28,Masculino
1755,798,510.275,Nivel 0 de Recuperacion,28,Femenino
12,800,370.51,Nivel 0 de Recuperacion,26,Masculino
305,804,454.61,Nivel 0 de Recuperacion,33,Femenino
743,805,508.005,Nivel 0 de Recuperacion,30,Masculino
1341,807,313.485,Nivel 0 de Recuperacion,39,Masculino
530,808,452.845,Nivel 0 de Recuperacion,33,Femenino
473,810,325.42,Nivel 0 de Recuperacion,24,Masculino
1423,811,515.64,Nivel 0 de Recuperacion,35,Femenino
1786,818,529.01,Nivel 0 de Recuperacion,26,Femenino
1249,820,491.705,Nivel 0 de Recuperacion,33,Femenino
1994,820,342.965,Nivel 0 de Recuperacion,45,Masculino
1706,822,592.635,Nivel 0 de Recuperacion,26,Femenino
195,823,718.3,Nivel 0 de Recuperacion,30,Femenino
1630,823,636.24,Nivel 0 de Recuperacion,29,Masculino
1536,826,298.845,Nivel 0 de Recuperacion,25,Femenino
1343,827,402.605,Nivel 0 de Recuperacion,18,Masculino
1641,828,463.59,Nivel 0 de Recuperacion,32,Masculino
1934,828,344.365,Nivel 0 de Recuperacion,30,Femenino
1847,831,309.255,Nivel 0 de Recuperacion,27,Masculino
1502,840,758.41,Nivel 0 de Recuperacion,28,Femenino
1537,844,666.28,Nivel 0 de Recuperacion,26,Femenino
1214,845,377.975,Nivel 0 de Recuperacion,31,Masculino
696,846,257.695,Nivel 0 de Recuperacion,29,Femenino
25,848,358.595,Nivel 0 de Recuperacion,25,Masculino
1809,848,495.58,Nivel 0 de Recuperacion,29,Femenino
1254,851,428.795,Nivel 0 de Recuperacion,20,Masculino
394,852,376.935,Nivel 0 de Recuperacion,30,Masculino
1620,852,432.855,Nivel 0 de Recuperacion,30,Femenino
933,857,647.46,Nivel 0 de Recuperacion,22,Masculino
1780,864,449.48,Nivel 0 de Recuperacion,42,Masculino
109,865,506.635,Nivel 0 de Recuperacion,44,Masculino
598,869,429.275,Nivel 0 de Recuperacion,42,Femenino
1477,869,1300.79,Nivel 0 de Recuperacion,21,Femenino
1866,869,359.945,Nivel 0 de Recuperacion,35,Masculino
899,870,293.065,Nivel 0 de Recuperacion,34,Masculino
1930,870,314.39,Nivel 0 de Recuperacion,31,Femenino
178,871,656.47,Nivel 0 de Recuperacion,22,Masculino
1101,873,533.875,Nivel 0 de Recuperacion,34,Masculino
1227,873,551.925,Nivel 0 de Recuperacion,35,Masculino
508,877,476.415,Nivel 0 de Recuperacion,36,Masculino
1763,877,411.84,Nivel 0 de Recuperacion,25,Femenino
1475,879,646.93,Nivel 0 de Recuperacion,32,Femenino
879,880,724.42,Nivel 0 de Recuperacion,30,Femenino
884,881,594.9,Nivel 0 de Recuperacion,28,Masculino
1694,881,450.56,Nivel 0 de Recuperacion,33,Masculino
1556,882,346.51,Nivel 0 de Recuperacion,25,Masculino
300,886,613.32,Nivel 0 de Recuperacion,28,Femenino
1465,886,1051.69,Nivel 0 de Recuperacion,18,Masculino
1776,887,506.235,Nivel 0 de Recuperacion,25,Masculino
279,889,546.165,Nivel 0 de Recuperacion,25,Masculino
893,891,487.25,Nivel 0 de Recuperacion,24,Femenino
1604,892,572.33,Nivel 0 de Recuperacion,26,Femenino
1740,892,610.09,Nivel 0 de Recuperacion,28,Femenino
1933,892,694.955,Nivel 0 de Recuperacion,26,Femenino
1966,894,744.515,Nivel 0 de Recuperacion,40,Femenino
200,897,454.66,Nivel 0 de Recuperacion,29,Femenino
1817,897,472.36,Nivel 0 de Recuperacion,20,Masculino
9,899,398.145,Nivel 0 de Recuperacion,41,Masculino
520,900,504.79,Nivel 0 de Recuperacion,34,Masculino
1036,900,539.535,Nivel 0 de Recuperacion,34,Femenino
1383,900,554.745,Nivel 0 de Recuperacion,24,Masculino
998,901,887.005,Nivel 0 de Recuperacion,32,Masculino
1351,903,667.035,Nivel 0 de Recuperacion,28,Masculino
2028,905,586.96,Nivel 0 de Recuperacion,35,Femenino
1943,906,874.56,Nivel 0 de Recuperacion,29,Masculino
559,907,317.335,Nivel 0 de Recuperacion,21,Masculino
1675,908,625.55,Nivel 0 de Recuperacion,26,Masculino
1297,911,520.775,Nivel 0 de Recuperacion,18,Masculino
1157,912,773.65,Nivel 0 de Recuperacion,29,Femenino
1685,913,756.855,Nivel 0 de Recuperacion,27,Masculino
1951,914,556.53,Nivel 0 de Recuperacion,23,Masculino
806,917,793.73,Nivel 0 de Recuperacion,26,Masculino
954,918,575.435,Nivel 0 de Recuperacion,30,Masculino
963,918,645.595,Nivel 0 de Recuperacion,35,Masculino
1976,918,307.525,Nivel 0 de Recuperacion,24,Masculino
1052,919,541.475,Nivel 0 de Recuperacion,31,Masculino
1364,919,544.04,Nivel 0 de Recuperacion,23,Masculino
1257,920,500.23,Nivel 0 de Recuperacion,27,Masculino
877,926,615.935,Nivel 0 de Recuperacion,32,Masculino
1033,931,801.885,Nivel 0 de Recuperacion,31,Masculino
468,932,325.535,Nivel 0 de Recuperacion,19,Femenino
1508,932,409.77,Nivel 0 de Recuperacion,30,Masculino
248,937,494.495,Nivel 0 de Recuperacion,23,Femenino
1550,938,964.39,Nivel 0 de Recuperacion,34,Masculino
1744,938,754.71,Nivel 0 de Recuperacion,26,Femenino
1403,940,806.94,Nivel 0 de Recuperacion,22,Masculino
930,941,792.37,Nivel 0 de Recuperacion,20,Femenino
926,943,770.28,Nivel 0 de Recuperacion,35,Masculino
562,945,333.605,Nivel 0 de Recuperacion,40,Femenino
1223,947,714.655,Nivel 0 de Recuperacion,31,Masculino
1405,947,870.02,Nivel 0 de Recuperacion,21,Masculino
690,948,282.855,Nivel 0 de Recuperacion,28,Femenino
1619,950,883.79,Nivel 0 de Recuperacion,21,Femenino
1898,950,534.91,Nivel 0 de Recuperacion,24,Masculino
212,951,543.78,Nivel 0 de Recuperacion,33,Femenino
1329,951,537.985,Nivel 0 de Recuperacion,20,Masculino
1751,951,589.435,Nivel 0 de Recuperacion,21,Masculino
560,952,581.51,Nivel 0 de Recuperacion,23,Masculino
604,952,305.275,Nivel 0 de Recuperacion,27,Femenino
1806,953,438.145,Nivel 0 de Recuperacion,35,Masculino
123,960,737.665,Nivel 0 de Recuperacion,18,Masculino
1108,961,660.175,Nivel 0 de Recuperacion,56,Masculino
278,962,629.47,Nivel 0 de Recuperacion,21,Femenino
1993,963,508.18,Nivel 0 de Recuperacion,24,Masculino
1677,966,705.725,Nivel 0 de Recuperacion,44,Masculino
1821,966,363.01,Nivel 0 de Recuperacion,24,Masculino
1819,967,490.44,Nivel 0 de Recuperacion,18,Femenino
1848,967,535.235,Nivel 0 de Recuperacion,34,Femenino
1949,968,1029.545,Nivel 0 de Recuperacion,33,Femenino
500,969,609.685,Nivel 0 de Recuperacion,30,Masculino
1916,970,719.84,Nivel 0 de Recuperacion,19,Masculino
856,971,492.32,Nivel 0 de Recuperacion,25,Femenino
84,972,507.325,Nivel 0 de Recuperacion,23,Femenino
901,973,474.53,Nivel 0 de Recuperacion,25,Masculino
1549,975,656.5,Nivel 0 de Recuperacion,23,Femenino
1756,975,834.605,Nivel 0 de Recuperacion,31,Masculino
1365,977,663.145,Nivel 0 de Recuperacion,28,Masculino
1696,977,724.675,Nivel 0 de Recuperacion,25,Masculino
1988,977,389.59,Nivel 0 de Recuperacion,18,Masculino
403,979,762.995,Nivel 0 de Recuperacion,25,Masculino
610,980,377.67,Nivel 0 de Recuperacion,30,Masculino
2033,980,856.695,Nivel 0 de Recuperacion,33,Masculino
2045,980,1214.57,Nivel 0 de Recuperacion,29,Femenino
21,981,341.58,Nivel 0 de Recuperacion,28,Masculino
1394,982,596.915,Nivel 0 de Recuperacion,22,Masculino
874,983,923.3,Nivel 0 de Recuperacion,24,Femenino
1204,983,422.235,Nivel 0 de Recuperacion,33,Masculino
1051,985,410.34,Nivel 0 de Recuperacion,20,Masculino
1164,986,1176.465,Nivel 0 de Recuperacion,29,Femenino
1452,986,938.075,Nivel 0 de Recuperacion,19,Femenino
254,987,477.985,Nivel 0 de Recuperacion,31,Masculino
557,987,381.19,Nivel 0 de Recuperacion,18,Femenino
1386,988,462.7,Nivel 0 de Recuperacion,26,Masculino
1899,988,508.93,Nivel 0 de Recuperacion,26,Femenino
1980,988,428.85,Nivel 0 de Recuperacion,25,Femenino
2023,988,704.445,Nivel 0 de Recuperacion,18,Masculino
913,989,502.095,Nivel 0 de Recuperacion,34,Masculino
193,990,491.425,Nivel 0 de Recuperacion,22,Femenino
972,991,507.975,Nivel 0 de Recuperacion,22,Femenino
336,992,519.61,Nivel 0 de Recuperacion,32,Masculino
1818,992,397.385,Nivel 0 de Recuperacion,33,Femenino
2002,992,470.215,Nivel 0 de Recuperacion,32,Masculino
618,993,790.48,Nivel 0 de Recuperacion,22,Masculino
1779,993,518.3,Nivel 0 de Recuperacion,36,Femenino
1963,996,1225.66,Nivel 0 de Recuperacion,29,Femenino
391,998,763.27,Nivel 0 de Recuperacion,26,Femenino
206,1000,1119.87,Nivel 0 de Recuperacion,28,Masculino
1629,1001,1723.54922,Nivel 1 de Recuperacion,35,Masculino
2021,1001,612.7776467,Nivel 1 de Recuperacion,25,Femenino
1478,1002,1659.94163,Nivel 1 de Recuperacion,31,Masculino
153,1005,735.2648934,Nivel 1 de Recuperacion,33,Masculino
1359,1007,775.6701899,Nivel 1 de Recuperacion,26,Femenino
1721,1010,468.80872,Nivel 1 de Recuperacion,24,Femenino
348,1012,844.3638904,Nivel 1 de Recuperacion,27,Femenino
911,1013,794.0825283,Nivel 1 de Recuperacion,31,Femenino
1005,1013,715.5041753,Nivel 1 de Recuperacion,30,Masculino
208,1014,997.8265319,Nivel 1 de Recuperacion,20,Masculino
1514,1016,985.7021597,Nivel 1 de Recuperacion,30,Femenino
1535,1017,829.6367588,Nivel 1 de Recuperacion,29,Masculino
454,1018,870.2644065,Nivel 1 de Recuperacion,32,Masculino
600,1020,783.8100473,Nivel 1 de Recuperacion,23,Masculino
818,1020,849.7251612,Nivel 1 de Recuperacion,19,Masculino
493,1023,676.4499851,Nivel 1 de Recuperacion,33,Masculino
1496,1023,2046.825257,Nivel 1 de Recuperacion,33,Masculino
1870,1024,1222.414631,Nivel 1 de Recuperacion,35,Masculino
2005,1025,848.6061424,Nivel 1 de Recuperacion,26,Masculino
1528,1026,720.2906319,Nivel 1 de Recuperacion,22,Femenino
1667,1026,882.7187588,Nivel 1 de Recuperacion,24,Femenino
1799,1026,661.7877406,Nivel 1 de Recuperacion,30,Femenino
1385,1027,496.6920076,Nivel 1 de Recuperacion,22,Femenino
1137,1030,870.9028989,Nivel 1 de Recuperacion,37,Masculino
105,1031,742.0345768,Nivel 1 de Recuperacion,35,Femenino
1211,1031,1012.706647,Nivel 1 de Recuperacion,37,Masculino
1301,1032,789.5904172,Nivel 1 de Recuperacion,28,Femenino
661,1033,1047.370531,Nivel 1 de Recuperacion,33,Masculino
61,1034,1199.917829,Nivel 1 de Recuperacion,22,Femenino
482,1034,849.1643123,Nivel 1 de Recuperacion,30,Masculino
238,1035,990.6340745,Nivel 1 de Recuperacion,21,Femenino
292,1041,712.6532526,Nivel 1 de Recuperacion,30,Femenino
513,1042,843.319302,Nivel 1 de Recuperacion,23,Masculino
1443,1044,674.7690549,Nivel 1 de Recuperacion,25,Femenino
1461,1044,1135.882979,Nivel 1 de Recuperacion,30,Femenino
1509,1044,906.4984965,Nivel 1 de Recuperacion,34,Masculino
1559,1045,973.3639101,Nivel 1 de Recuperacion,34,Femenino
1793,1045,1697.47501,Nivel 1 de Recuperacion,32,Femenino
631,1046,1098.320587,Nivel 1 de Recuperacion,42,Masculino
1497,1046,1134.471732,Nivel 1 de Recuperacion,25,Masculino
1557,1048,1068.511941,Nivel 1 de Recuperacion,28,Femenino
192,1049,955.9131834,Nivel 1 de Recuperacion,19,Masculino
1086,1049,760.8977117,Nivel 1 de Recuperacion,29,Masculino
1336,1049,1002.450251,Nivel 1 de Recuperacion,40,Masculino
718,1050,1001.841551,Nivel 1 de Recuperacion,32,Masculino
955,1051,1062.661229,Nivel 1 de Recuperacion,30,Masculino
1597,1051,851.5869116,Nivel 1 de Recuperacion,30,Masculino
578,1056,846.2038292,Nivel 1 de Recuperacion,23,Femenino
18,1057,959.5396432,Nivel 1 de Recuperacion,22,Femenino
182,1058,1251.915589,Nivel 1 de Recuperacion,43,Masculino
924,1058,634.9691551,Nivel 1 de Recuperacion,28,Masculino
709,1061,882.5719724,Nivel 1 de Recuperacion,23,Femenino
291,1062,824.1649314,Nivel 1 de Recuperacion,34,Masculino
707,1062,688.9110641,Nivel 1 de Recuperacion,23,Masculino
1462,1062,943.1711121,Nivel 1 de Recuperacion,20,Masculino
1794,1062,1097.629093,Nivel 1 de Recuperacion,41,Masculino
1437,1063,947.2487093,Nivel 1 de Recuperacion,27,Femenino
1829,1065,700.0770013,Nivel 1 de Recuperacion,20,Masculino
1972,1065,823.2485654,Nivel 1 de Recuperacion,26,Masculino
142,1066,986.7832963,Nivel 1 de Recuperacion,41,Femenino
652,1066,954.7328511,Nivel 1 de Recuperacion,29,Femenino
1037,1069,1083.21528,Nivel 1 de Recuperacion,32,Masculino
134,1071,705.5518707,Nivel 1 de Recuperacion,34,Masculino
417,1071,904.5613295,Nivel 1 de Recuperacion,31,Masculino
1170,1071,665.3593201,Nivel 1 de Recuperacion,24,Masculino
1775,1072,769.2819856,Nivel 1 de Recuperacion,31,Femenino
1845,1072,433.199166,Nivel 1 de Recuperacion,25,Masculino
52,1073,1053.353862,Nivel 1 de Recuperacion,29,Masculino
1340,1075,956.3494516,Nivel 1 de Recuperacion,35,Masculino
1625,1076,938.1474896,Nivel 1 de Recuperacion,29,Femenino
1815,1076,980.9743413,Nivel 1 de Recuperacion,33,Masculino
410,1077,1013.650883,Nivel 1 de Recuperacion,22,Masculino
1097,1077,1138.29318,Nivel 1 de Recuperacion,27,Femenino
1466,1078,1072.344742,Nivel 1 de Recuperacion,26,Masculino
1649,1078,1150.060622,Nivel 1 de Recuperacion,26,Femenino
1127,1079,1160.40549,Nivel 1 de Recuperacion,29,Femenino
1812,1080,862.9001536,Nivel 1 de Recuperacion,28,Masculino
440,1081,815.5547412,Nivel 1 de Recuperacion,33,Masculino
1633,1084,627.4518699,Nivel 1 de Recuperacion,27,Masculino
1842,1084,759.2355361,Nivel 1 de Recuperacion,30,Masculino
284,1085,962.2080743,Nivel 1 de Recuperacion,22,Femenino
1621,1085,664.54105,Nivel 1 de Recuperacion,34,Femenino
1912,1086,908.044553,Nivel 1 de Recuperacion,31,Femenino
2043,1086,1280.870775,Nivel 1 de Recuperacion,23,Femenino
1547,1088,994.9089817,Nivel 1 de Recuperacion,26,Masculino
88,1091,1135.175607,Nivel 1 de Recuperacion,21,Masculino
1957,1091,806.1377734,Nivel 1 de Recuperacion,31,Femenino
732,1092,728.4363739,Nivel 1 de Recuperacion,21,Masculino
1637,1092,1028.513414,Nivel 1 de Recuperacion,19,Masculino
1184,1096,1077.218384,Nivel 1 de Recuperacion,38,Masculino
1664,1096,2053.290126,Nivel 1 de Recuperacion,18,Femenino
302,1098,876.9977754,Nivel 1 de Recuperacion,34,Masculino
554,1098,1836.918718,Nivel 1 de Recuperacion,26,Femenino
1501,1099,1277.630578,Nivel 1 de Recuperacion,42,Femenino
1785,1100,663.7054465,Nivel 1 de Recuperacion,22,Femenino
233,1101,990.1575163,Nivel 1 de Recuperacion,35,Masculino
1890,1109,1066.454408,Nivel 1 de Recuperacion,26,Femenino
1903,1109,889.9072971,Nivel 1 de Recuperacion,28,Femenino
141,1110,751.7630959,Nivel 1 de Recuperacion,29,Masculino
354,1111,1091.67163,Nivel 1 de Recuperacion,28,Femenino
1043,1111,1290.53536,Nivel 1 de Recuperacion,39,Masculino
1504,1113,972.4009552,Nivel 1 de Recuperacion,25,Masculino
466,1114,743.031917,Nivel 1 de Recuperacion,24,Femenino
1243,1115,973.7044306,Nivel 1 de Recuperacion,34,Masculino
1350,1115,1008.434705,Nivel 1 de Recuperacion,37,Masculino
1743,1116,1018.119389,Nivel 1 de Recuperacion,34,Femenino
1871,1117,883.8743985,Nivel 1 de Recuperacion,26,Masculino
1952,1118,930.2375223,Nivel 1 de Recuperacion,29,Masculino
710,1120,1229.360657,Nivel 1 de Recuperacion,35,Masculino
1115,1120,2232.326692,Nivel 1 de Recuperacion,27,Masculino
1156,1120,983.5650489,Nivel 1 de Recuperacion,18,Femenino
1284,1120,904.1520831,Nivel 1 de Recuperacion,28,Masculino
1693,1121,1616.015865,Nivel 1 de Recuperacion,33,Femenino
1260,1124,1035.902511,Nivel 1 de Recuperacion,19,Femenino
528,1126,784.7193373,Nivel 1 de Recuperacion,25,Femenino
1361,1127,729.1985682,Nivel 1 de Recuperacion,30,Masculino
8,1129,741.4583876,Nivel 1 de Recuperacion,33,Femenino
548,1130,854.6547604,Nivel 1 de Recuperacion,27,Masculino
1893,1130,833.7923963,Nivel 1 de Recuperacion,28,Femenino
716,1131,1000.310063,Nivel 1 de Recuperacion,24,Femenino
1357,1132,764.7062535,Nivel 1 de Recuperacion,35,Femenino
1857,1132,1121.466781,Nivel 1 de Recuperacion,23,Masculino
1217,1134,1049.435005,Nivel 1 de Recuperacion,37,Masculino
1344,1134,1338.461867,Nivel 1 de Recuperacion,33,Masculino
1396,1136,1334.000985,Nivel 1 de Recuperacion,30,Masculino
1998,1136,668.066199,Nivel 1 de Recuperacion,21,Masculino
1607,1139,1102.769926,Nivel 1 de Recuperacion,33,Masculino
1822,1139,817.3061993,Nivel 1 de Recuperacion,32,Femenino
1558,1141,866.3774021,Nivel 1 de Recuperacion,24,Masculino
1956,1141,1006.363868,Nivel 1 de Recuperacion,34,Masculino
575,1146,773.1071293,Nivel 1 de Recuperacion,21,Femenino
293,1147,1145.548895,Nivel 1 de Recuperacion,31,Masculino
788,1148,973.7819628,Nivel 1 de Recuperacion,21,Femenino
1090,1148,1098.036423,Nivel 1 de Recuperacion,30,Masculino
1978,1151,932.2409605,Nivel 1 de Recuperacion,29,Masculino
1476,1152,1069.834771,Nivel 1 de Recuperacion,29,Femenino
236,1153,997.3074312,Nivel 1 de Recuperacion,42,Masculino
1726,1153,751.1284817,Nivel 1 de Recuperacion,33,Masculino
1382,1154,726.0641443,Nivel 1 de Recuperacion,26,Masculino
2006,1154,939.0973136,Nivel 1 de Recuperacion,25,Femenino
219,1155,748.4634012,Nivel 1 de Recuperacion,32,Femenino
960,1156,1327.732248,Nivel 1 de Recuperacion,20,Masculino
1259,1156,611.2817806,Nivel 1 de Recuperacion,19,Femenino
1928,1156,624.0090952,Nivel 1 de Recuperacion,22,Masculino
807,1157,907.5000642,Nivel 1 de Recuperacion,32,Masculino
150,1161,809.2033356,Nivel 1 de Recuperacion,23,Masculino
1480,1162,942.4864124,Nivel 1 de Recuperacion,23,Femenino
1965,1163,541.7326288,Nivel 1 de Recuperacion,25,Masculino
94,1164,1097.386145,Nivel 1 de Recuperacion,34,Masculino
612,1165,655.0470044,Nivel 1 de Recuperacion,33,Femenino
1408,1165,1139.893166,Nivel 1 de Recuperacion,22,Masculino
875,1168,681.2799726,Nivel 1 de Recuperacion,22,Femenino
1764,1168,1375.612274,Nivel 1 de Recuperacion,30,Femenino
1789,1168,648.6107131,Nivel 1 de Recuperacion,34,Masculino
1955,1168,562.8529804,Nivel 1 de Recuperacion,35,Masculino
247,1170,1628.597459,Nivel 1 de Recuperacion,19,Masculino
132,1171,1118.554339,Nivel 1 de Recuperacion,20,Femenino
237,1171,685.1657346,Nivel 1 de Recuperacion,18,Femenino
858,1171,1092.334114,Nivel 1 de Recuperacion,37,Femenino
2015,1172,1095.232632,Nivel 1 de Recuperacion,26,Masculino
1248,1175,601.8257401,Nivel 1 de Recuperacion,29,Masculino
198,1179,1503.312788,Nivel 1 de Recuperacion,19,Femenino
1977,1183,1276.574313,Nivel 1 de Recuperacion,25,Femenino
1414,1186,1009.910727,Nivel 1 de Recuperacion,34,Masculino
773,1188,884.2437847,Nivel 1 de Recuperacion,30,Femenino
1149,1189,1297.407541,Nivel 1 de Recuperacion,27,Femenino
1623,1189,973.6866625,Nivel 1 de Recuperacion,31,Femenino
226,1190,1606.120053,Nivel 1 de Recuperacion,19,Masculino
1564,1190,1072.300001,Nivel 1 de Recuperacion,33,Masculino
1138,1192,866.3010005,Nivel 1 de Recuperacion,20,Femenino
936,1194,1002.933156,Nivel 1 de Recuperacion,33,Masculino
1970,1196,697.4536465,Nivel 1 de Recuperacion,34,Femenino
249,1198,1315.354942,Nivel 1 de Recuperacion,26,Masculino
1679,1198,1464.018628,Nivel 1 de Recuperacion,25,Femenino
1234,1199,1274.330575,Nivel 1 de Recuperacion,19,Femenino
1049,1200,1369.626964,Nivel 1 de Recuperacion,36,Masculino
1268,1201,1016.861726,Nivel 1 de Recuperacion,38,Femenino
967,1202,967.5701609,Nivel 1 de Recuperacion,26,Masculino
1741,1202,489.7192152,Nivel 1 de Recuperacion,26,Masculino
980,1204,1220.918566,Nivel 1 de Recuperacion,40,Masculino
1012,1206,1335.04767,Nivel 1 de Recuperacion,31,Femenino
511,1207,1030.849929,Nivel 1 de Recuperacion,21,Femenino
1907,1211,850.8527033,Nivel 1 de Recuperacion,23,Masculino
1715,1212,1832.497052,Nivel 1 de Recuperacion,29,Femenino
859,1214,1013.32192,Nivel 1 de Recuperacion,19,Femenino
556,1216,1286.968596,Nivel 1 de Recuperacion,18,Masculino
506,1217,872.8439511,Nivel 1 de Recuperacion,36,Masculino
725,1219,1049.376478,Nivel 1 de Recuperacion,18,Femenino
